"No.","Time","Source","Destination","Protocol","Length","Info"
"101","27.009277","192.168.159.151","192.168.159.152","DNS","81","Standard query 0xe904 AAAA 1.ubuntu.pool.ntp.org"
"102","27.080740","VMware_c7:28:f6","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.150"
"103","28.063185","192.168.159.152","192.168.159.151","DNS","79","Standard query response 0xb755 Server failure A clients1.google.com"
"104","28.063245","192.168.159.152","192.168.159.151","DNS","79","Standard query response 0x3c6c Server failure A clients1.google.com"
"105","28.063279","192.168.159.151","192.168.159.152","ICMP","107","Destination unreachable (Port unreachable)"
"106","28.063362","192.168.159.151","192.168.159.152","DNS","89","Standard query 0x6cb2 A clients1.google.com.mydns.com"
"107","28.063386","192.168.159.152","192.168.159.151","DNS","79","Standard query response 0x32e8 Server failure A clients1.google.com"
"108","28.063491","192.168.159.151","192.168.159.152","DNS","79","Standard query 0x32e8 A clients1.google.com"
"109","28.063626","192.168.159.152","192.168.159.151","DNS","137","Standard query response 0x6cb2 No such name A clients1.google.com.mydns.com SOA ubuntu.mydns.com"
"110","28.063957","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"111","28.064285","192.168.159.151","192.168.159.152","DNS","79","Standard query 0x4b5d A clients1.google.com"
"112","28.085052","VMware_c7:28:f6","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.150"
"113","29.064200","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"114","29.109282","VMware_c7:28:f6","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.150"
"115","29.595420","192.168.159.152","192.168.159.151","DNS","79","Standard query response 0x151c Server failure A accounts.google.com"
"116","29.595474","192.168.159.152","192.168.159.151","DNS","79","Standard query response 0x2e65 Server failure A accounts.google.com"
"117","29.595592","192.168.159.151","192.168.159.152","DNS","79","Standard query 0x2e65 A accounts.google.com"
"118","29.595631","192.168.159.151","192.168.159.152","DNS","89","Standard query 0xb1f2 A accounts.google.com.mydns.com"
"119","29.595894","192.168.159.152","192.168.159.151","DNS","137","Standard query response 0xb1f2 No such name A accounts.google.com.mydns.com SOA ubuntu.mydns.com"
"120","30.064045","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"121","30.567815","VMware_c0:00:08","Broadcast","ARP","60","Who has 192.168.178.2? Tell 192.168.178.1"
"122","31.397140","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"123","31.935055","192.168.159.151","192.168.159.152","DNS","86","Standard query 0x29e9 PTR 1.178.168.192.in-addr.arpa"
"124","31.935552","192.168.159.152","192.168.159.151","DNS","141","Standard query response 0x29e9 No such name PTR 1.178.168.192.in-addr.arpa SOA 168.192.IN-ADDR.ARPA"
"125","32.007247","192.168.159.152","192.168.159.151","DNS","81","Standard query response 0x3431 Server failure A 1.ubuntu.pool.ntp.org"
"126","32.007303","192.168.159.152","192.168.159.151","DNS","81","Standard query response 0xe904 Server failure AAAA 1.ubuntu.pool.ntp.org"
"127","32.007487","192.168.159.151","192.168.159.152","DNS","91","Standard query 0xecc0 A 1.ubuntu.pool.ntp.org.mydns.com"
"128","32.007621","192.168.159.151","192.168.159.152","DNS","91","Standard query 0x3988 AAAA 1.ubuntu.pool.ntp.org.mydns.com"
"129","32.008013","192.168.159.152","192.168.159.151","DNS","139","Standard query response 0xecc0 No such name A 1.ubuntu.pool.ntp.org.mydns.com SOA ubuntu.mydns.com"
"130","32.008037","192.168.159.152","192.168.159.151","DNS","139","Standard query response 0x3988 No such name AAAA 1.ubuntu.pool.ntp.org.mydns.com SOA ubuntu.mydns.com"
"131","32.008316","192.168.159.151","192.168.159.152","DNS","74","Standard query 0x5a71 A ntp.ubuntu.com"
"132","32.008429","192.168.159.151","192.168.159.152","DNS","74","Standard query 0xeb61 AAAA ntp.ubuntu.com"
"133","32.040730","VMware_c0:00:08","Broadcast","ARP","60","Who has 192.168.178.2? Tell 192.168.178.1"
"134","32.086406","VMware_c7:28:f6","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.150"
"135","32.399872","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
