No.,Time,Source,Destination,Protocol,Length,Info,MitM
356,97.703928,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
357,98.220548,VMware_eb:a7:b9,VMware_1b:ea:01,ARP,60,192.168.159.153 is at 00:0c:29:eb:a7:b9,TRUE
358,98.703714,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
359,99.087651,VMware_eb:a7:b9,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,TRUE
360,99.305219,192.168.159.151,192.168.159.152,DNS,81,Standard query 0xb24b A 0.ubuntu.pool.ntp.org,FALSE
361,99.305394,192.168.159.151,192.168.159.152,DNS,81,Standard query 0x9532 AAAA 0.ubuntu.pool.ntp.org,FALSE
362,99.468108,VMware_eb:a7:b9,VMware_34:25:0e,ARP,60,192.168.159.152 is at 00:0c:29:eb:a7:b9,TRUE
363,99.703722,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
364,100.096058,VMware_eb:a7:b9,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,TRUE
365,100.220851,VMware_eb:a7:b9,VMware_1b:ea:01,ARP,60,192.168.159.153 is at 00:0c:29:eb:a7:b9,TRUE
366,101.104203,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
367,101.119961,VMware_eb:a7:b9,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,TRUE
368,101.468264,VMware_eb:a7:b9,VMware_34:25:0e,ARP,60,192.168.159.152 is at 00:0c:29:eb:a7:b9,TRUE
369,102.103651,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
370,102.221048,VMware_eb:a7:b9,VMware_1b:ea:01,ARP,60,192.168.159.153 is at 00:0c:29:eb:a7:b9,TRUE
371,103.10359,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
372,103.468535,VMware_eb:a7:b9,VMware_34:25:0e,ARP,60,192.168.159.152 is at 00:0c:29:eb:a7:b9,TRUE
373,104.09294,VMware_eb:a7:b9,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,TRUE
374,104.221245,VMware_eb:a7:b9,VMware_1b:ea:01,ARP,60,192.168.159.153 is at 00:0c:29:eb:a7:b9,TRUE
375,104.30338,192.168.159.152,192.168.159.151,DNS,81,Standard query response 0x9532 Server failure AAAA 0.ubuntu.pool.ntp.org,FALSE
376,104.30342,192.168.159.152,192.168.159.151,DNS,81,Standard query response 0xb24b Server failure A 0.ubuntu.pool.ntp.org,FALSE
377,104.303514,192.168.159.151,192.168.159.152,DNS,91,Standard query 0x7377 A 0.ubuntu.pool.ntp.org.mydns.com,FALSE
378,104.303635,192.168.159.151,192.168.159.152,DNS,91,Standard query 0xffc1 AAAA 0.ubuntu.pool.ntp.org.mydns.com,FALSE
379,104.303927,192.168.159.152,192.168.159.151,DNS,139,Standard query response 0xffc1 No such name AAAA 0.ubuntu.pool.ntp.org.mydns.com SOA ubuntu.mydns.com,FALSE
380,104.303936,192.168.159.152,192.168.159.151,DNS,139,Standard query response 0x7377 No such name A 0.ubuntu.pool.ntp.org.mydns.com SOA ubuntu.mydns.com,FALSE
381,105.120124,VMware_eb:a7:b9,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,TRUE
382,105.468929,VMware_eb:a7:b9,VMware_34:25:0e,ARP,60,192.168.159.152 is at 00:0c:29:eb:a7:b9,TRUE
383,106.144033,VMware_eb:a7:b9,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,TRUE
384,106.221492,VMware_eb:a7:b9,VMware_1b:ea:01,ARP,60,192.168.159.153 is at 00:0c:29:eb:a7:b9,TRUE
385,107.469054,VMware_eb:a7:b9,VMware_34:25:0e,ARP,60,192.168.159.152 is at 00:0c:29:eb:a7:b9,TRUE
386,108.221754,VMware_eb:a7:b9,VMware_1b:ea:01,ARP,60,192.168.159.153 is at 00:0c:29:eb:a7:b9,TRUE
387,109.09833,VMware_eb:a7:b9,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,TRUE
388,109.303577,VMware_1b:ea:01,VMware_64:d8:25,ARP,60,Who has 192.168.159.151? Tell 192.168.159.152,FALSE
389,109.303593,VMware_64:d8:25,VMware_1b:ea:01,ARP,42,192.168.159.151 is at 00:0c:29:64:d8:25,FALSE
390,109.397211,VMware_64:d8:25,VMware_1b:ea:01,ARP,42,Who has 192.168.159.152? Tell 192.168.159.151,FALSE
391,109.397678,VMware_1b:ea:01,VMware_64:d8:25,ARP,60,192.168.159.152 is at 00:0c:29:1b:ea:01,FALSE
392,109.469421,VMware_eb:a7:b9,VMware_34:25:0e,ARP,60,192.168.159.152 is at 00:0c:29:eb:a7:b9,TRUE
393,110.11238,VMware_eb:a7:b9,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,TRUE
394,110.222059,VMware_eb:a7:b9,VMware_1b:ea:01,ARP,60,192.168.159.153 is at 00:0c:29:eb:a7:b9,TRUE
395,111.136088,VMware_eb:a7:b9,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,TRUE
396,111.469844,VMware_eb:a7:b9,VMware_34:25:0e,ARP,60,192.168.159.152 is at 00:0c:29:eb:a7:b9,TRUE
397,112.222876,VMware_eb:a7:b9,VMware_1b:ea:01,ARP,60,192.168.159.153 is at 00:0c:29:eb:a7:b9,TRUE
398,112.469265,fe80::20c:29ff:fe64:d825,ff02::2,ICMPv6,70,Router Solicitation from 00:0c:29:64:d8:25,FALSE
399,113.469972,VMware_eb:a7:b9,VMware_34:25:0e,ARP,60,192.168.159.152 is at 00:0c:29:eb:a7:b9,TRUE
400,113.618062,192.168.159.151,192.168.159.152,DNS,132,Standard query 0x7cd3 PTR 5.2.8.d.4.6.e.f.f.f.9.2.c.0.2.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,FALSE
401,113.619051,192.168.159.152,192.168.159.151,DNS,181,Standard query response 0x7cd3 No such name PTR 5.2.8.d.4.6.e.f.f.f.9.2.c.0.2.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa SOA 8.E.F.IP6.ARPA,FALSE
402,114.103529,VMware_eb:a7:b9,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,TRUE
403,114.222784,VMware_eb:a7:b9,VMware_1b:ea:01,ARP,60,192.168.159.153 is at 00:0c:29:eb:a7:b9,TRUE
404,115.108174,VMware_eb:a7:b9,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,TRUE
405,115.470185,VMware_eb:a7:b9,VMware_34:25:0e,ARP,60,192.168.159.152 is at 00:0c:29:eb:a7:b9,TRUE
406,116.128194,VMware_eb:a7:b9,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,TRUE
407,116.223385,VMware_eb:a7:b9,VMware_1b:ea:01,ARP,60,192.168.159.153 is at 00:0c:29:eb:a7:b9,TRUE
408,117.036385,192.168.159.153,192.168.159.152,TCP,66,"38118  >  21 [FIN, ACK] Seq=171 Ack=515 Win=29312 Len=0 TSval=1279583849 TSecr=31350",TRUE
409,117.036544,192.168.159.150,192.168.159.153,ICMP,94,Redirect             (Redirect for host),TRUE
410,117.036547,192.168.159.153,192.168.159.152,TCP,66,"[TCP Retransmission] 38118  >  21 [FIN, ACK] Seq=171 Ack=515 Win=29312 Len=0 TSval=1279583849 TSecr=31350",TRUE
411,117.036808,192.168.159.152,192.168.159.153,TCP,66,"21  >  38118 [FIN, ACK] Seq=515 Ack=172 Win=29056 Len=0 TSval=46349 TSecr=1279583849",TRUE
412,117.036947,192.168.159.150,192.168.159.152,ICMP,94,Redirect             (Redirect for host),TRUE
413,117.036951,192.168.159.152,192.168.159.153,TCP,66,"[TCP Retransmission] 21  >  38118 [FIN, ACK] Seq=515 Ack=172 Win=29056 Len=0 TSval=46349 TSecr=1279583849",TRUE
414,117.03702,192.168.159.153,192.168.159.152,TCP,66,38118  >  21 [ACK] Seq=172 Ack=516 Win=29312 Len=0 TSval=1279583850 TSecr=46349,TRUE
415,117.037149,192.168.159.153,192.168.159.152,TCP,66,[TCP Dup ACK 414#1] 38118  >  21 [ACK] Seq=172 Ack=516 Win=29312 Len=0 TSval=1279583850 TSecr=46349,TRUE
416,117.470494,VMware_eb:a7:b9,VMware_34:25:0e,ARP,60,192.168.159.152 is at 00:0c:29:eb:a7:b9,TRUE
417,118.223395,VMware_eb:a7:b9,VMware_1b:ea:01,ARP,60,192.168.159.153 is at 00:0c:29:eb:a7:b9,TRUE
418,118.29648,192.168.159.151,192.168.159.152,DNS,74,Standard query 0xc8d0 A ntp.ubuntu.com,FALSE
419,118.296693,192.168.159.151,192.168.159.152,DNS,74,Standard query 0x57ec AAAA ntp.ubuntu.com,FALSE
420,118.297407,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
421,119.109042,VMware_eb:a7:b9,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,TRUE
422,119.295769,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
423,119.471145,VMware_eb:a7:b9,VMware_34:25:0e,ARP,60,192.168.159.152 is at 00:0c:29:eb:a7:b9,TRUE
424,120.128065,VMware_eb:a7:b9,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,TRUE
425,120.223847,VMware_eb:a7:b9,VMware_1b:ea:01,ARP,60,192.168.159.153 is at 00:0c:29:eb:a7:b9,TRUE
426,120.295611,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
427,121.152024,VMware_eb:a7:b9,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,TRUE
